Nom Magasin,Sessions,% de visiteurs qui reviennent,Visiteurs
Pramat - Florac-Trois-Rivières,20,0.3333333333333333,15
Sosaca - Toulon,20,0.35294117647058826,17
Stoker - Pouilly-en-Auxois - E-commerce,20,0.5454545454545454,11
Trullen - Dun-le-Palestel,20,0.4117647058823529,17
Bray - Charly-sur-Marne,19,0.3333333333333333,15
CGB - Châtillon-sur-Seine,19,0.4,10
Charbonnier - Saint-Nizier-dAzergues,19,0.35294117647058826,17
Datas - Masseube,19,0.25,16
Saint Paulienne - Saint-Paul-le-Jeune,19,0.5454545454545454,11
Sosaca - Le luc,19,0.2777777777777778,18
Pomes Darré - Marciac,18,0.2222222222222222,18
Sosaca - La Motte,18,0.3125,16
Périgord Matériaux - Saint-Martial-de-Valette,17,0.6363636363636364,11
Sosaca - Les Arcs,17,0.5625,16
Brochard Couverture - Saint-Germain-du-Puy,16,0.4166666666666667,12
Courby - Les Ollières-sur-Eyrieux,16,0.23076923076923078,13
Farel Clavel - Mazan - E-commerce,16,0.36363636363636365,11
Bonnefoy Pascal - Coucouron - E-commerce,15,0.38461538461538464,13
Cayreyre - Rosières,15,0.3333333333333333,12
Dumeil - Blesle,15,0.6363636363636364,11
Pomes Darré - Castelnau,15,0.13333333333333333,15
Bonnefoy Pascal - Grandrieu - E-commerce,14,0.2857142857142857,14
Carladez Matériaux - Mur-de-Barrez,14,0.9,10
GBMC - Val de Saône - Champlitte,14,0.3076923076923077,13
Périgord Matériaux - Piégut-Pluviers,14,0.38461538461538464,13
Stoker - Saulieu,14,0.875,8
Raynal - Champs,13,0.4444444444444444,9
Périgord Matériaux - Javerlhac,12,0.4,10
Balagne Matériaux - Morosaglia - E-commerce,11,0.42857142857142855,7
GENAPPE MATERIAUX - BAISY THY,11,0.1111111111111111,9
Pierron et Fils - Saint-Maurice-sous-les-Côtes,11,0.2,10
Stoker - Fleurey-sur-Ouche,11,0.18181818181818182,11
CGB - Bar-sur-Aube,10,0.7142857142857143,7
Bernon - Le Collet-de-Dèze,9,1.0,3
Lafon - Maurs,9,0.75,8
Lafon - Vic-sur-Cère,9,0.7142857142857143,7
COLLOT - NANINNE,8,0.3333333333333333,6
Derrey - Abainville,8,1.0,4
Guenée Matériaux - Louvigné-du-Désert,8,0.6666666666666666,6
Manen - Saint-Jean-du-Gard,8,0.625,8
Bianucci Matériaux - Rodilhan,7,0.2857142857142857,7
Cayreyre - Saint-Maurice-dArdèche,7,0.14285714285714285,7
François Matériaux - Laissac-Sévérac lÉglise,6,0.4,5
La Frontière - Fumay,6,0.75,4
Saint-Martin Matériaux - Saint-Martin,6,0.16666666666666666,6
Boromat - Saint-Clément-de-Valorgue - E-commerce,5,0.4,5
Materiaux de la gaume - Saint-Mard,5,0.6666666666666666,3
NEUBAT - ESNEUX,4,0.6666666666666666,3
SCHEEN-BROUHA - AUBEL,4,0.3333333333333333,3
SERON - COMBLAIN AU PONT,4,0.5,2
Sosaca - Taradeau,4,0.0,4
Bianucci Matériaux - Saint-Gervasy,3,0.0,3
KM MATERIAUX - JAHLAY,3,0.5,2
Périgord Matériaux - Quinsac,3,0.0,3
Boromat - Saint-Anthème,2,1.0,1
DEVIERE-DUMONT & FILS - VILLERS-SAINT-GHISLAIN,2,0.0,2
ROBIJNS & FILS - PETIT-ENGHIEN,2,0.0,2
THEISSEN - RECHT,2,0.0,2
Cayreyre - Pont-de-Labeaume,1,0.0,1
Favre d&#039;Anne - Faverges - E-commerce,1,0.0,1
Labenne Rougier - Villenave-d&#039;Ornon - E-commerce,1,1.0,1
VANTRIMPONT - SAINT GHISLAIN,1,0.0,1
