Sessions,SKU de produit,Nom des produits
1,24691895,Chaux aérienne éteinte CAEB CL 90-S CE - sac de 25kg
1,24691901,Chaux hydraulique CALIX grise HL 5 CE - sac de 35kg
1,24694148,Appui de fenêtre béton gris avec isolant - 900x350mm
1,24695114,Rehausse béton pour fosse toutes eaux diam.ext.50cm haut.25cm
1,24695695,Anneau de puits en béton droit diam.int.1m haut.30cm
1,24697521,"Treillis soudé ST15C D6 maille 20x20 - panneau 4x2,40m"
1,24698719,"Treillis soudé PAFC D4,5 maille 20x20 - panneau 3,60x2,40m"
1,24698726,"Treillis soudé ST25CS D7 maille 15x15 - panneau 3x2,40m"
1,24699242,Tuile PERSPECTIVE rouge vieilli - PY001
1,24699273,Tuile PLEIN CIEL brun - PW001
1,24701075,Trappe de visite dim.50x50cm acier laqué blanc
1,24706834,Fourrure PREGYMETAL s47/6 - 3m
1,24707602,"Plaque de plâtre ignifuge PREGYFEU A1 BA13 - 2,50x1,20m"
1,24708951,"Doublage polystyrène graphite PREGYTHERM BA13+100 - 2,50 x 1,20 m - R=3,15m².K/W"
1,24719025,Faitière d'about 42 fin PETITE CÔTE rouge vieilli - DY041
1,24722025,"Poutrelle en béton précontraint RS 111 - L.3,00 m"
1,24723305,"Elément de pilier lisse dim.30x30cm haut.17,4cm coloris beige"
1,24723428,Elément de pilier LLICORELLA dim.30x30cm haut.20cm coloris ton pierre
1,24749534,Imperméabilisant ALGIFOB+ effet mouillé - bidon de 5 l
1,24749640,"Solivette Sapin/Epicéa traitement Classe 2 section 38x175mm long.3,00m"
1,24751834,"Caniveau DRAINYL ECO PEHD 100 haut int.7,5cm haut ext.8,8cm larg int.10cm larg ext.13,5cm long.1m"
1,24768771,Pilier à enduire gris - 26x26x20cm
1,24775533,Mitigeur lavabo EUROSTYLE GROHE laiton chromé
1,24778787,"Rouleau de plomb ép.1,5mm long.5m larg.30cm coloris naturel"
1,24780933,"Demi-bastaing Sapin/Epicéa traitement Classe 2 section 32x175mm long.3,00m"
1,24781190,"Bastaing Sapin/Epicéa traitement Classe 2 section 63x175mm long.2,00m"
