rayon,URL de la page,Sessions,Taux de rebond des pages
Etanchéité de couverture,https://www.gedimat.fr/1-materiaux-construction/7-protection-etancheite/1721-etancheite-de-couverture,3662,0.5181219110378913
"Sols vinyles, PVC et SPC",https://www.gedimat.fr/5-menuiserie-amenagement/33-revetement-sols-et-murs/320-sols-vinyles-pvc-et-spc,3659,0.41696658097686373
Accessoires plafonds,https://www.gedimat.fr/3-isolation-cloison/18-plafonds/76-accessoires-plafonds,3647,0.575809199318569
Gaines - Tubes - Moulures,https://www.gedimat.fr/10-electricite-eclairage/66-fils-cables-gaines-tubes/270-gaines-tubes-moulures,3632,0.5171849427168577
Pergolas,https://www.gedimat.fr/13-plein-air-loisirs/85-decoration-ornement/353-pergolas,3539,0.4169079328314997
Accessoires pose de carrelages,https://www.gedimat.fr/12-revetement-sols-murs/81-accessoires-outillage/342-accessoires-pose-de-carrelages,3505,0.4611973392461197
Protection des personnes - Vêtements,https://www.gedimat.fr/15-outillage/95-protection-securite/424-protection-des-personnes-vetements,3503,0.4844961240310077
Quincaillerie de portes,https://www.gedimat.fr/5-menuiserie-amenagement/34-accessoires-outillage/467-quincaillerie-de-portes,3387,0.42334494773519166
Balustrades et Garde-corps extérieurs,https://www.gedimat.fr/14-amenagements-exterieurs/90-portails-clotures-amenagements/145-balustrades-et-garde-corps-exterieurs,3324,0.5319148936170213
Balustrades et Garde-corps extérieurs,https://www.gedimat.fr/5-menuiserie-amenagement/32-menuiserie-exterieure/145-balustrades-et-garde-corps-exterieurs,3310,0.5083459787556904
Peintures façades,https://www.gedimat.fr/1-materiaux-construction/2-facade/295-peintures-facades,3279,0.5332302936630603
Enduits de lissage,https://www.gedimat.fr/11-peinture-droguerie/70-preparation-des-fonds/287-enduits-de-lissage,3267,0.4562135112593828
Solins - Abergements,https://www.gedimat.fr/2-couverture-bardage/8-toiture/1621-solins-abergements,3204,0.44694533762057875
Adjuvants,https://www.gedimat.fr/1-materiaux-construction/3-agregats-poudres/18-adjuvants,3149,0.5590809628008753
Colles - Adhésifs,https://www.gedimat.fr/11-peinture-droguerie/75-droguerie/303-colles-adhesifs,3091,0.5296482412060302
Volets - Stores,https://www.gedimat.fr/5-menuiserie-amenagement/32-menuiserie-exterieure/141-volets-stores,3060,0.6463414634146342
Pierres naturelles,https://www.gedimat.fr/14-amenagements-exterieurs/88-revetements-sols-exterieurs/324-pierres-naturelles,3046,0.6721311475409836
Clins - Bardages,https://www.gedimat.fr/14-amenagements-exterieurs/89-revetements-murs-exterieurs/45-clins-bardages,3025,0.475177304964539
Etanchéité sous carrelage,https://www.gedimat.fr/12-revetement-sols-murs/81-accessoires-outillage/341-etancheite-sous-carrelage,2975,0.495928338762215
Produits d&#039;entretien - Nettoyants,https://www.gedimat.fr/11-peinture-droguerie/75-droguerie/302-produits-d-entretien-nettoyants,2946,0.5485933503836317
Outillage du maçon,https://www.gedimat.fr/15-outillage/94-outils/415-outillage-du-macon,2936,0.6213592233009708
Ecrans sous toiture,https://www.gedimat.fr/2-couverture-bardage/11-ecrans-toitures-et-murs/50-ecrans-sous-toiture,2933,0.4318181818181818
Panneaux stratifiés et décoratifs,https://www.gedimat.fr/4-bois-panneaux/28-panneaux-dalles/116-panneaux-stratifies-et-decoratifs,2930,0.5154295246038365
Poutres lamellées-collées,https://www.gedimat.fr/4-bois-panneaux/24-bois-de-structure/98-poutres-lamellees-collees,2907,0.558648111332008
Auvents - Marquises,https://www.gedimat.fr/5-menuiserie-amenagement/32-menuiserie-exterieure/138-auvents-marquises,2868,0.5209611451942741
Serrures - Verrous - Cadenas,https://www.gedimat.fr/16-quincaillerie/103-securite-des-acces-et-des-biens/469-serrures-verrous-cadenas,2827,0.40658499234303214
Trappes de visite,https://www.gedimat.fr/3-isolation-cloison/21-accessoires-outillage/88-trappes-de-visite,2811,0.46581769436997317
Plâtres en poudre,https://www.gedimat.fr/1-materiaux-construction/3-agregats-poudres/17-platres-en-poudre,2766,0.47010550996483
Revêtements synthétiques,https://www.gedimat.fr/14-amenagements-exterieurs/88-revetements-sols-exterieurs/322-revetements-synthetiques,2759,0.6055045871559633
Grilles de défense,https://www.gedimat.fr/5-menuiserie-amenagement/32-menuiserie-exterieure/146-grilles-de-defense,2739,0.5251231527093596
Etanchéité des terrasses,https://www.gedimat.fr/1-materiaux-construction/7-protection-etancheite/1711-etancheite-des-terrasses,2732,0.5011520737327189
Préparation et réparation des murs,https://www.gedimat.fr/1-materiaux-construction/3-agregats-poudres/1821-preparation-et-reparation-des-murs,2714,0.6554878048780488
Récupération d&#039;eau de pluie,https://www.gedimat.fr/2-couverture-bardage/10-evacuation-eaux-pluviales/49-recuperation-d-eau-de-pluie,2709,0.4837799717912553
Spoterie et Luminaire,https://www.gedimat.fr/10-electricite-eclairage/67-eclairage/276-spoterie-et-luminaire,2676,0.4579560155239327
Quincaillerie de couverture et charpente,https://www.gedimat.fr/2-couverture-bardage/14-accessoires-outillage/460-quincaillerie-de-couverture-et-charpente,2672,0.51278928136419
Chevilles,https://www.gedimat.fr/16-quincaillerie/100-fixation-assemblage/455-chevilles,2659,0.5123010130246021
Accessoires de fixation,https://www.gedimat.fr/2-couverture-bardage/10-evacuation-eaux-pluviales/48-accessoires-de-fixation,2655,0.5714285714285714
Produits de finition bois,https://www.gedimat.fr/11-peinture-droguerie/74-produits-pour-bois/298-produits-de-finition-bois,2607,0.5863247863247864
Panneaux à Carreler,https://www.gedimat.fr/6-salle-de-bain-sanitaire/35-douches/1791-panneaux-a-carreler,2597,0.4700122399020808
Etais - Tréteaux,https://www.gedimat.fr/15-outillage/98-materiel-outils-de-chantier-atelier/448-etais-treteaux,2584,0.4082089552238806
Robinets éviers,https://www.gedimat.fr/7-cuisine/47-eviers-robinetterie/233-robinets-eviers,2575,0.46875
Tableaux électriques,https://www.gedimat.fr/10-electricite-eclairage/64-appareillages-modulaires/261-tableaux-electriques,2572,0.5426621160409556
Voliges,https://www.gedimat.fr/2-couverture-bardage/311-bois-de-charpente/94-voliges,2543,0.4863436123348018
Ecrans pare pluie,https://www.gedimat.fr/2-couverture-bardage/11-ecrans-toitures-et-murs/1761-ecrans-pare-pluie,2515,0.43218197135636055
Pas japonais,https://www.gedimat.fr/12-revetement-sols-murs/79-revetements-sols-exterieurs/377-pas-japonais,2505,0.5726708074534161
Peintures sous-couches,https://www.gedimat.fr/11-peinture-droguerie/70-preparation-des-fonds/288-peintures-sous-couches,2492,0.4725274725274725
Traitements curatifs et préventifs bois,https://www.gedimat.fr/2-couverture-bardage/16-traitements-finitions/300-traitements-curatifs-et-preventifs-bois,2463,0.53
Outillage du jardinier,https://www.gedimat.fr/15-outillage/94-outils/423-outillage-du-jardinier,2385,0.631578947368421
Carports,https://www.gedimat.fr/13-plein-air-loisirs/83-abris/348-carports,2355,0.44207836456558774
Barbecues - Fours - Planchas,https://www.gedimat.fr/13-plein-air-loisirs/84-coin-repas/350-barbecues-fours-planchas,2352,0.5151162790697674
Volets - Stores,https://www.gedimat.fr/2-couverture-bardage/13-chassis-de-toit/141-volets-stores,2309,0.44045368620037806
Briques de verre,https://www.gedimat.fr/3-isolation-cloison/19-cloisons/81-briques-de-verre,2301,0.5191176470588236
Revêtements synthétiques,https://www.gedimat.fr/12-revetement-sols-murs/79-revetements-sols-exterieurs/322-revetements-synthetiques,2281,0.41935483870967744
Tubages rigides,https://www.gedimat.fr/2-couverture-bardage/15-fumisterie/1141-tubages-rigides,2280,0.4355165428764348
Fonte de voirie,https://www.gedimat.fr/1-materiaux-construction/6-assainissement-vrd/34-fonte-de-voirie,2277,0.4664246823956443
Panneaux de particules,https://www.gedimat.fr/4-bois-panneaux/28-panneaux-dalles/113-panneaux-de-particules,2276,0.44648318042813456
Protection des façades,https://www.gedimat.fr/1-materiaux-construction/7-protection-etancheite/37-protection-des-facades,2275,0.5342205323193916
Pas japonais,https://www.gedimat.fr/14-amenagements-exterieurs/88-revetements-sols-exterieurs/377-pas-japonais,2258,0.5909090909090909
Closoirs,https://www.gedimat.fr/2-couverture-bardage/8-toiture/1601-closoirs,2238,0.5022675736961452
Modulaires - Boîtes,https://www.gedimat.fr/10-electricite-eclairage/64-appareillages-modulaires/263-modulaires-boites,2208,0.4175
Enduits de rebouchage,https://www.gedimat.fr/11-peinture-droguerie/70-preparation-des-fonds/286-enduits-de-rebouchage,2204,0.47518796992481205
Grilles de ventilation,https://www.gedimat.fr/9-chauffage-traitement-de-l-air/61-traitement-de-l-air/253-grilles-de-ventilation,2198,0.4460377358490566
Mastics,https://www.gedimat.fr/11-peinture-droguerie/75-droguerie/981-mastics,2194,0.5497572815533981
Scies électro-portatives,https://www.gedimat.fr/15-outillage/96-outils-electro-portatif/432-scies-electro-portatives,2166,0.47962962962962963
